id,type,title,source.database,source.author,source.author_id,source.poem_id,source.collected,source.processed,content.full_text,content.poem_lines,content.line_count,content.char_count,metadata.persona,metadata.time_period,metadata.place,metadata.poem_type,metadata.poem_type_detail,metadata.rhyme_category,metadata.has_allusions,metadata.allusion_count,metadata.has_annotations,metadata.annotation_count,metadata.language,metadata.formality,metadata.content_category
dufu_30576,poem,巳上人茅齋,CNKGraph.Writings.xml,杜甫,17270,30576,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736712,"Title: 巳上人茅齋

Poem:
巳公茅屋下，
可以賦新詩。
枕簟入林僻，
茶瓜留客遲。
江蓮搖白羽，
天棘夢青絲。
空忝許詢輩，
難酬支遁詞。

Creation Information:
Date: 741年
Place: CN410381

Literary Characteristics:
Type: 律詩
Rhyme: 支

Allusions:
  - 支遁
  - 許詢

Annotations:
  - 舊注謂齊己，非。
  - 天門冬，蔓高丈餘，其葉如絲。《通志》：“柳一名天棘，則非蔓矣。”
  - 一作蔓
","['巳公茅屋下，', '可以賦新詩。', '枕簟入林僻，', '茶瓜留客遲。', '江蓮搖白羽，', '天棘夢青絲。', '空忝許詢輩，', '難酬支遁詞。']",8,48,Du Fu (杜甫),741年,CN410381,律詩,WuLv,支,True,2,True,3,Classical Chinese,Formal,poetry
dufu_30858,poem,房兵曹胡馬詩,CNKGraph.Writings.xml,杜甫,17270,30858,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736715,"Title: 房兵曹胡馬詩

Poem:
胡馬大宛名，
鋒棱瘦骨成。
竹批雙耳峻，
風入四蹄輕。
所向無空闊，
真堪託死生。
驍騰有如此，
萬里可橫行。

Creation Information:
Date: 741年
Place: CN410381

Literary Characteristics:
Type: 律詩
Rhyme: 庚

Annotations:
  - 《齊民要術》：“馬耳欲小而鋭，狀如斬竹筒。”
","['胡馬大宛名，', '鋒棱瘦骨成。', '竹批雙耳峻，', '風入四蹄輕。', '所向無空闊，', '真堪託死生。', '驍騰有如此，', '萬里可橫行。']",8,48,Du Fu (杜甫),741年,CN410381,律詩,WuLv,庚,False,0,True,1,Classical Chinese,Formal,poetry
dufu_30869,poem,畫鷹,CNKGraph.Writings.xml,杜甫,17270,30869,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736721,"Title: 畫鷹

Poem:
素練風霜起，
蒼鷹畫作殊。
㩳身思狡兔，
側目似愁胡。
絛旋光堪擿，
軒楹勢可呼。
何當擊凡鳥，
毛血灑平蕪。

Creation Information:
Date: 741年
Place: CN410381

Literary Characteristics:
Type: 律詩
Rhyme: 虞

Annotations:
  - 一作如
  - 荀勇切，竦也
","['素練風霜起，', '蒼鷹畫作殊。', '㩳身思狡兔，', '側目似愁胡。', '絛旋光堪擿，', '軒楹勢可呼。', '何當擊凡鳥，', '毛血灑平蕪。']",8,48,Du Fu (杜甫),741年,CN410381,律詩,WuLv,虞,False,0,True,2,Classical Chinese,Formal,poetry
dufu_30759,poem,過宋員外之問舊莊,CNKGraph.Writings.xml,杜甫,17270,30759,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736725,"Title: 過宋員外之問舊莊

Poem:
宋公舊池館，
零落守陽阿。
枉道祗從入，
吟詩許更過。
淹留問耆老，
寂莫向山河。
更識將軍樹，
悲風日暮多。

Creation Information:
Date: 741年
Place: CN410381

Literary Characteristics:
Type: 律詩
Rhyme: 歌

Allusions:
  - 將軍樹

Annotations:
  - 原注：員外季弟執金吾見知於代，故有下句。宋之問，官考功員外郎，弟之悌，自羽林將軍出爲劒南節度。
  - 一作首
","['宋公舊池館，', '零落守陽阿。', '枉道祗從入，', '吟詩許更過。', '淹留問耆老，', '寂莫向山河。', '更識將軍樹，', '悲風日暮多。']",8,48,Du Fu (杜甫),741年,CN410381,律詩,WuLv,歌,True,1,True,2,Classical Chinese,Formal,poetry
dufu_30821,poem,夜宴左氏莊,CNKGraph.Writings.xml,杜甫,17270,30821,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736729,"Title: 夜宴左氏莊

Poem:
風林纖月落，
衣露淨琴張。
暗水流花徑，
春星帶草堂。
檢書燒燭短，
看劒引杯長。
詩罷聞吳詠，
扁舟意不忘。

Creation Information:
Date: 741年
Place: CN410381

Literary Characteristics:
Type: 律詩
Rhyme: 阳

Annotations:
  - 一作林風
  - 一作靜
  - 一作說
  - 一作煎茗
","['風林纖月落，', '衣露淨琴張。', '暗水流花徑，', '春星帶草堂。', '檢書燒燭短，', '看劒引杯長。', '詩罷聞吳詠，', '扁舟意不忘。']",8,48,Du Fu (杜甫),741年,CN410381,律詩,WuLv,阳,False,0,True,4,Classical Chinese,Formal,poetry
dufu_30919,poem,春日憶李白,CNKGraph.Writings.xml,杜甫,17270,30919,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736733,"Title: 春日憶李白

Poem:
白也詩無敵，
飄然思不羣。
清新庾開府，
俊逸鮑參軍。
渭北春天樹，
江東日暮雲。
何時一尊酒，
重與細論文。

Creation Information:
Date: 746年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 文

Allusions:
  - 鮑參軍

Annotations:
  - 一作數
  - 一作豪邁
  - 一作話斯
","['白也詩無敵，', '飄然思不羣。', '清新庾開府，', '俊逸鮑參軍。', '渭北春天樹，', '江東日暮雲。', '何時一尊酒，', '重與細論文。']",8,48,Du Fu (杜甫),746年,CN6101,律詩,WuLv,文,True,1,True,3,Classical Chinese,Formal,poetry
dufu_31261,poem,贈陳二補闕,CNKGraph.Writings.xml,杜甫,17270,31261,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736736,"Title: 贈陳二補闕

Poem:
世儒多汨沒，
夫子獨聲名。
獻納開東觀，
君王問長卿。
皁雕寒始急，
天馬老能行。
自到青冥裏，
休看白髮生。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 庚

Allusions:
  - 天馬
  - 問長卿

Annotations:
  - 音試
","['世儒多汨沒，', '夫子獨聲名。', '獻納開東觀，', '君王問長卿。', '皁雕寒始急，', '天馬老能行。', '自到青冥裏，', '休看白髮生。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,庚,True,2,True,1,Classical Chinese,Formal,poetry
dufu_31115,poem,寄高三十五書記,CNKGraph.Writings.xml,杜甫,17270,31115,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736739,"Title: 寄高三十五書記

Poem:
歎惜高生老，
新詩日又多。
美名人不及，
佳句法如何。
主將收才子，
崆峒足凱歌。
聞君已朱紱，
且得慰蹉跎。

Creation Information:
Date: 754年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 歌

Annotations:
  - 適
","['歎惜高生老，', '新詩日又多。', '美名人不及，', '佳句法如何。', '主將收才子，', '崆峒足凱歌。', '聞君已朱紱，', '且得慰蹉跎。']",8,48,Du Fu (杜甫),754年,CN6101,律詩,WuLv,歌,False,0,True,1,Classical Chinese,Formal,poetry
dufu_31001,poem,送裴二虯作尉永嘉,CNKGraph.Writings.xml,杜甫,17270,31001,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736743,"Title: 送裴二虯作尉永嘉

Poem:
孤嶼亭何處，
天涯水氣中。
故人官就此，
絕境興誰同。
隱吏逢梅福，
遊山憶謝公。
扁舟吾已就，
把釣待秋風。

Creation Information:
Date: 754年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 东

Allusions:
  - 謝公
  - 梅福

Annotations:
  - 一作與
  - 一作具，一作買
  - 一作只是
","['孤嶼亭何處，', '天涯水氣中。', '故人官就此，', '絕境興誰同。', '隱吏逢梅福，', '遊山憶謝公。', '扁舟吾已就，', '把釣待秋風。']",8,48,Du Fu (杜甫),754年,CN6101,律詩,WuLv,东,True,2,True,3,Classical Chinese,Formal,poetry
dufu_30979,poem,送韋書記赴安西,CNKGraph.Writings.xml,杜甫,17270,30979,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736747,"Title: 送韋書記赴安西

Poem:
夫子歘通貴，
雲泥相望懸。
白頭無藉在，
朱紱有哀憐。
書記赴三捷，
公車留二年。
欲浮江海去，
此別意蒼然。

Creation Information:
Date: 752年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 先

Allusions:
  - 三捷

Annotations:
  - 無所依藉也，作籍誤
  - 一作接
  - 一作茫
","['夫子歘通貴，', '雲泥相望懸。', '白頭無藉在，', '朱紱有哀憐。', '書記赴三捷，', '公車留二年。', '欲浮江海去，', '此別意蒼然。']",8,48,Du Fu (杜甫),752年,CN6101,律詩,WuLv,先,True,1,True,3,Classical Chinese,Formal,poetry
dufu_31087,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31087,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736751,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
不識南塘路，
今知第五橋。
名園依綠水，
野竹上青霄。
谷口舊相得，
濠梁同見招。
平生爲幽興，
未惜馬蹄遙。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 萧

Allusions:
  - 濠梁
  - 谷口

Annotations:
  - 山林在韋曲西塔陂
  - 一作決
","['不識南塘路，', '今知第五橋。', '名園依綠水，', '野竹上青霄。', '谷口舊相得，', '濠梁同見招。', '平生爲幽興，', '未惜馬蹄遙。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,萧,True,2,True,2,Classical Chinese,Formal,poetry
dufu_31088,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31088,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736754,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
百頃風潭上，
千重夏木清。
卑枝低結子，
接葉暗巢鶯。
鮮鯽銀絲膾，
香芹碧澗羹。
飜疑柁樓底，
晚飯越中行。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 庚

Annotations:
  - 山林在韋曲西塔陂
  - 一作章
","['百頃風潭上，', '千重夏木清。', '卑枝低結子，', '接葉暗巢鶯。', '鮮鯽銀絲膾，', '香芹碧澗羹。', '飜疑柁樓底，', '晚飯越中行。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,庚,False,0,True,2,Classical Chinese,Formal,poetry
dufu_31089,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31089,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736758,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
萬里戎王子，
何年別月支。
異花開絕域，
滋蔓匝清池。
漢使徒空到，
神農竟不知。
露飜兼雨打，
開坼日離披。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 支

Annotations:
  - 山林在韋曲西塔陂
  - 舊注未月支花名
  - 此言花張騫未經見，《本草》未經載也
  - 一作漸
","['萬里戎王子，', '何年別月支。', '異花開絕域，', '滋蔓匝清池。', '漢使徒空到，', '神農竟不知。', '露飜兼雨打，', '開坼日離披。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,支,False,0,True,4,Classical Chinese,Formal,poetry
dufu_31090,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31090,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736763,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
旁舍連高竹，
疎籬帶晚花。
碾渦深沒馬，
藤蔓曲藏蛇。
詞賦工無益，
山林跡未賒。
盡捻書籍賣，
來問爾東家。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 麻

Allusions:
  - 東家

Annotations:
  - 山林在韋曲西塔陂
  - 一作垂
  - 一作何
  - 同拈
","['旁舍連高竹，', '疎籬帶晚花。', '碾渦深沒馬，', '藤蔓曲藏蛇。', '詞賦工無益，', '山林跡未賒。', '盡捻書籍賣，', '來問爾東家。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,麻,True,1,True,4,Classical Chinese,Formal,poetry
dufu_31091,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31091,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736766,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
賸水滄江破，
殘山碣石開。
綠垂風折筍，
紅綻雨肥梅。
銀甲彈箏用，
金魚換酒來。
興移無灑埽，
隨意坐莓苔。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 灰

Annotations:
  - 山林在韋曲西塔陂
  - 一作盤
","['賸水滄江破，', '殘山碣石開。', '綠垂風折筍，', '紅綻雨肥梅。', '銀甲彈箏用，', '金魚換酒來。', '興移無灑埽，', '隨意坐莓苔。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,灰,False,0,True,2,Classical Chinese,Formal,poetry
dufu_31092,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31092,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736770,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
風磴吹陰雪，
雲門吼瀑泉。
酒醒思臥簟，
衣冷欲裝綿。
野老來看客，
河魚不取錢。
只疑淳樸處，
自有一山川。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 先

Annotations:
  - 山林在韋曲西塔陂
  - 一作梅
  - 一作得
","['風磴吹陰雪，', '雲門吼瀑泉。', '酒醒思臥簟，', '衣冷欲裝綿。', '野老來看客，', '河魚不取錢。', '只疑淳樸處，', '自有一山川。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,先,False,0,True,3,Classical Chinese,Formal,poetry
dufu_31093,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31093,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736775,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
棘樹寒雲色，
茵蔯春藕香。
脆添生菜美，
陰益食單涼。
野鶴清晨出，
山精白日藏。
石林蟠水府，
百里獨蒼蒼。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 阳

Annotations:
  - 山林在韋曲西塔陂
  - 一作梀，音同棘
  - 蒿類，因陳苗而生，故名
  - 一作蓋
  - 一作簟
  ... and 2 more
","['棘樹寒雲色，', '茵蔯春藕香。', '脆添生菜美，', '陰益食單涼。', '野鶴清晨出，', '山精白日藏。', '石林蟠水府，', '百里獨蒼蒼。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,阳,False,0,True,7,Classical Chinese,Formal,poetry
dufu_31094,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31094,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736778,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
憶過楊柳渚，
走馬定昆池。
醉把青荷葉，
狂遺白接䍦。
刺船思郢客，
解水乞吳兒。
坐對秦山晚，
江湖興頗隨。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 支

Allusions:
  - 醉把青荷

Annotations:
  - 山林在韋曲西塔陂
  - 安樂公主鑿定昆池
","['憶過楊柳渚，', '走馬定昆池。', '醉把青荷葉，', '狂遺白接䍦。', '刺船思郢客，', '解水乞吳兒。', '坐對秦山晚，', '江湖興頗隨。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,支,True,1,True,2,Classical Chinese,Formal,poetry
dufu_31095,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31095,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736780,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
牀上書連屋，
階前樹拂雲。
將軍不好武，
稚子總能文。
醒酒微風入，
聽詩靜夜分。
絺衣挂蘿薜，
涼月白紛紛。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 文

Annotations:
  - 山林在韋曲西塔陂
","['牀上書連屋，', '階前樹拂雲。', '將軍不好武，', '稚子總能文。', '醒酒微風入，', '聽詩靜夜分。', '絺衣挂蘿薜，', '涼月白紛紛。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,文,False,0,True,1,Classical Chinese,Formal,poetry
dufu_31096,poem,陪鄭廣文遊何將軍山林十首,CNKGraph.Writings.xml,杜甫,17270,31096,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736783,"Title: 陪鄭廣文遊何將軍山林十首

Poem:
幽意忽不愜，
歸期無奈何。
出門流水注，
回首白雲多。
自笑燈前舞，
誰憐醉後歌。
祗應與朋好，
風雨亦來過。

Creation Information:
Date: 753年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 歌

Annotations:
  - 山林在韋曲西塔陂
  - 一作住
  - 一作雜花
","['幽意忽不愜，', '歸期無奈何。', '出門流水注，', '回首白雲多。', '自笑燈前舞，', '誰憐醉後歌。', '祗應與朋好，', '風雨亦來過。']",8,48,Du Fu (杜甫),753年,CN6101,律詩,WuLv,歌,False,0,True,3,Classical Chinese,Formal,poetry
dufu_31005,poem,重過何氏五首,CNKGraph.Writings.xml,杜甫,17270,31005,2025-10-04T14:31:18.538790,2025-10-04T14:32:58.736786,"Title: 重過何氏五首

Poem:
問訊東橋竹，
將軍有報書。
倒衣還命駕，
高枕乃吾廬。
花妥鶯捎蝶，
溪喧獺趁魚。
重來休沐地，
真作野人居。

Creation Information:
Date: 754年
Place: CN6101

Literary Characteristics:
Type: 律詩
Rhyme: 鱼
","['問訊東橋竹，', '將軍有報書。', '倒衣還命駕，', '高枕乃吾廬。', '花妥鶯捎蝶，', '溪喧獺趁魚。', '重來休沐地，', '真作野人居。']",8,48,Du Fu (杜甫),754年,CN6101,律詩,WuLv,鱼,False,0,False,0,Classical Chinese,Formal,poetry
