chunk_id,source_document_id,chunk_type,content,char_count,metadata.persona,metadata.time_period,metadata.poem_title,metadata.poem_type,metadata.language,metadata.has_allusions,metadata.has_annotations,metadata.allusion_count,metadata.annotation_count
dufu_chunk_0025,dufu_30648,annotations_context,"Poem: 對雨書懷走邀許十一簿公

Scholarly Annotations:
  一作許主簿
  一作溪",55,Du Fu (杜甫),740年,對雨書懷走邀許十一簿公,律詩,Classical Chinese,,,,2.0
dufu_chunk_0026,dufu_30576,poem_content,"Poem Title: 巳上人茅齋

Poem Text:
巳公茅屋下，
可以賦新詩。
枕簟入林僻，
茶瓜留客遲。
江蓮搖白羽，
天棘夢青絲。
空忝許詢輩，
難酬支遁詞。

Creation Date: 741年
Location: CN410381
Poem Type: 律詩",139,Du Fu (杜甫),741年,巳上人茅齋,律詩,Classical Chinese,True,True,,
dufu_chunk_0027,dufu_30576,allusions_context,"Poem: 巳上人茅齋

Literary Allusions and References:
  支遁
  許詢",57,Du Fu (杜甫),741年,巳上人茅齋,律詩,Classical Chinese,,,2.0,
dufu_chunk_0028,dufu_30576,annotations_context,"Poem: 巳上人茅齋

Scholarly Annotations:
  舊注謂齊己，非。
  天門冬，蔓高丈餘，其葉如絲。《通志》：“柳一名天棘，則非蔓矣。”
  一作蔓",87,Du Fu (杜甫),741年,巳上人茅齋,律詩,Classical Chinese,,,,3.0
dufu_chunk_0029,dufu_30858,poem_content,"Poem Title: 房兵曹胡馬詩

Poem Text:
胡馬大宛名，
鋒棱瘦骨成。
竹批雙耳峻，
風入四蹄輕。
所向無空闊，
真堪託死生。
驍騰有如此，
萬里可橫行。

Creation Date: 741年
Location: CN410381
Poem Type: 律詩",140,Du Fu (杜甫),741年,房兵曹胡馬詩,律詩,Classical Chinese,False,True,,
dufu_chunk_0030,dufu_30858,annotations_context,"Poem: 房兵曹胡馬詩

Scholarly Annotations:
  《齊民要術》：“馬耳欲小而鋭，狀如斬竹筒。”",61,Du Fu (杜甫),741年,房兵曹胡馬詩,律詩,Classical Chinese,,,,1.0
dufu_chunk_0031,dufu_30869,poem_content,"Poem Title: 畫鷹

Poem Text:
素練風霜起，
蒼鷹畫作殊。
㩳身思狡兔，
側目似愁胡。
絛旋光堪擿，
軒楹勢可呼。
何當擊凡鳥，
毛血灑平蕪。

Creation Date: 741年
Location: CN410381
Poem Type: 律詩",136,Du Fu (杜甫),741年,畫鷹,律詩,Classical Chinese,False,True,,
dufu_chunk_0032,dufu_30869,annotations_context,"Poem: 畫鷹

Scholarly Annotations:
  一作如
  荀勇切，竦也",47,Du Fu (杜甫),741年,畫鷹,律詩,Classical Chinese,,,,2.0
dufu_chunk_0033,dufu_30759,poem_content,"Poem Title: 過宋員外之問舊莊

Poem Text:
宋公舊池館，
零落守陽阿。
枉道祗從入，
吟詩許更過。
淹留問耆老，
寂莫向山河。
更識將軍樹，
悲風日暮多。

Creation Date: 741年
Location: CN410381
Poem Type: 律詩",142,Du Fu (杜甫),741年,過宋員外之問舊莊,律詩,Classical Chinese,True,True,,
dufu_chunk_0034,dufu_30759,allusions_context,"Poem: 過宋員外之問舊莊

Literary Allusions and References:
  將軍樹",56,Du Fu (杜甫),741年,過宋員外之問舊莊,律詩,Classical Chinese,,,1.0,
dufu_chunk_0035,dufu_30759,annotations_context,"Poem: 過宋員外之問舊莊

Scholarly Annotations:
  原注：員外季弟執金吾見知於代，故有下句。宋之問，官考功員外郎，弟之悌，自羽林將軍出爲劒南節度。
  一作首",94,Du Fu (杜甫),741年,過宋員外之問舊莊,律詩,Classical Chinese,,,,2.0
dufu_chunk_0036,dufu_30821,poem_content,"Poem Title: 夜宴左氏莊

Poem Text:
風林纖月落，
衣露淨琴張。
暗水流花徑，
春星帶草堂。
檢書燒燭短，
看劒引杯長。
詩罷聞吳詠，
扁舟意不忘。

Creation Date: 741年
Location: CN410381
Poem Type: 律詩",139,Du Fu (杜甫),741年,夜宴左氏莊,律詩,Classical Chinese,False,True,,
dufu_chunk_0037,dufu_30821,annotations_context,"Poem: 夜宴左氏莊

Scholarly Annotations:
  一作林風
  一作靜
  一作說
  一作煎茗",61,Du Fu (杜甫),741年,夜宴左氏莊,律詩,Classical Chinese,,,,4.0
dufu_chunk_0038,dufu_30919,poem_content,"Poem Title: 春日憶李白

Poem Text:
白也詩無敵，
飄然思不羣。
清新庾開府，
俊逸鮑參軍。
渭北春天樹，
江東日暮雲。
何時一尊酒，
重與細論文。

Creation Date: 746年
Location: CN6101
Poem Type: 律詩",137,Du Fu (杜甫),746年,春日憶李白,律詩,Classical Chinese,True,True,,
dufu_chunk_0039,dufu_30919,allusions_context,"Poem: 春日憶李白

Literary Allusions and References:
  鮑參軍",53,Du Fu (杜甫),746年,春日憶李白,律詩,Classical Chinese,,,1.0,
dufu_chunk_0040,dufu_30919,annotations_context,"Poem: 春日憶李白

Scholarly Annotations:
  一作數
  一作豪邁
  一作話斯",55,Du Fu (杜甫),746年,春日憶李白,律詩,Classical Chinese,,,,3.0
dufu_chunk_0041,dufu_31261,poem_content,"Poem Title: 贈陳二補闕

Poem Text:
世儒多汨沒，
夫子獨聲名。
獻納開東觀，
君王問長卿。
皁雕寒始急，
天馬老能行。
自到青冥裏，
休看白髮生。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",137,Du Fu (杜甫),753年,贈陳二補闕,律詩,Classical Chinese,True,True,,
dufu_chunk_0042,dufu_31261,allusions_context,"Poem: 贈陳二補闕

Literary Allusions and References:
  天馬
  問長卿",58,Du Fu (杜甫),753年,贈陳二補闕,律詩,Classical Chinese,,,2.0,
dufu_chunk_0043,dufu_31261,annotations_context,"Poem: 贈陳二補闕

Scholarly Annotations:
  音試",40,Du Fu (杜甫),753年,贈陳二補闕,律詩,Classical Chinese,,,,1.0
dufu_chunk_0044,dufu_31115,poem_content,"Poem Title: 寄高三十五書記

Poem Text:
歎惜高生老，
新詩日又多。
美名人不及，
佳句法如何。
主將收才子，
崆峒足凱歌。
聞君已朱紱，
且得慰蹉跎。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",139,Du Fu (杜甫),754年,寄高三十五書記,律詩,Classical Chinese,False,True,,
dufu_chunk_0045,dufu_31115,annotations_context,"Poem: 寄高三十五書記

Scholarly Annotations:
  適",41,Du Fu (杜甫),754年,寄高三十五書記,律詩,Classical Chinese,,,,1.0
dufu_chunk_0046,dufu_31001,poem_content,"Poem Title: 送裴二虯作尉永嘉

Poem Text:
孤嶼亭何處，
天涯水氣中。
故人官就此，
絕境興誰同。
隱吏逢梅福，
遊山憶謝公。
扁舟吾已就，
把釣待秋風。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",140,Du Fu (杜甫),754年,送裴二虯作尉永嘉,律詩,Classical Chinese,True,True,,
dufu_chunk_0047,dufu_31001,allusions_context,"Poem: 送裴二虯作尉永嘉

Literary Allusions and References:
  謝公
  梅福",60,Du Fu (杜甫),754年,送裴二虯作尉永嘉,律詩,Classical Chinese,,,2.0,
dufu_chunk_0048,dufu_31001,annotations_context,"Poem: 送裴二虯作尉永嘉

Scholarly Annotations:
  一作與
  一作具，一作買
  一作只是",61,Du Fu (杜甫),754年,送裴二虯作尉永嘉,律詩,Classical Chinese,,,,3.0
dufu_chunk_0049,dufu_30979,poem_content,"Poem Title: 送韋書記赴安西

Poem Text:
夫子歘通貴，
雲泥相望懸。
白頭無藉在，
朱紱有哀憐。
書記赴三捷，
公車留二年。
欲浮江海去，
此別意蒼然。

Creation Date: 752年
Location: CN6101
Poem Type: 律詩",139,Du Fu (杜甫),752年,送韋書記赴安西,律詩,Classical Chinese,True,True,,
dufu_chunk_0050,dufu_30979,allusions_context,"Poem: 送韋書記赴安西

Literary Allusions and References:
  三捷",54,Du Fu (杜甫),752年,送韋書記赴安西,律詩,Classical Chinese,,,1.0,
dufu_chunk_0051,dufu_30979,annotations_context,"Poem: 送韋書記赴安西

Scholarly Annotations:
  無所依藉也，作籍誤
  一作接
  一作茫",61,Du Fu (杜甫),752年,送韋書記赴安西,律詩,Classical Chinese,,,,3.0
dufu_chunk_0052,dufu_31087,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
不識南塘路，
今知第五橋。
名園依綠水，
野竹上青霄。
谷口舊相得，
濠梁同見招。
平生爲幽興，
未惜馬蹄遙。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,True,True,,
dufu_chunk_0053,dufu_31087,allusions_context,"Poem: 陪鄭廣文遊何將軍山林十首

Literary Allusions and References:
  濠梁
  谷口",64,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,2.0,
dufu_chunk_0054,dufu_31087,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作決",59,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0055,dufu_31088,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
百頃風潭上，
千重夏木清。
卑枝低結子，
接葉暗巢鶯。
鮮鯽銀絲膾，
香芹碧澗羹。
飜疑柁樓底，
晚飯越中行。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0056,dufu_31088,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作章",59,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0057,dufu_31089,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
萬里戎王子，
何年別月支。
異花開絕域，
滋蔓匝清池。
漢使徒空到，
神農竟不知。
露飜兼雨打，
開坼日離披。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0058,dufu_31089,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  舊注未月支花名
  此言花張騫未經見，《本草》未經載也
  一作漸",89,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,4.0
dufu_chunk_0059,dufu_31090,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
旁舍連高竹，
疎籬帶晚花。
碾渦深沒馬，
藤蔓曲藏蛇。
詞賦工無益，
山林跡未賒。
盡捻書籍賣，
來問爾東家。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,True,True,,
dufu_chunk_0060,dufu_31090,allusions_context,"Poem: 陪鄭廣文遊何將軍山林十首

Literary Allusions and References:
  東家",59,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,1.0,
dufu_chunk_0061,dufu_31090,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作垂
  一作何
  同拈",70,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,4.0
dufu_chunk_0062,dufu_31091,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
賸水滄江破，
殘山碣石開。
綠垂風折筍，
紅綻雨肥梅。
銀甲彈箏用，
金魚換酒來。
興移無灑埽，
隨意坐莓苔。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0063,dufu_31091,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作盤",59,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0064,dufu_31092,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
風磴吹陰雪，
雲門吼瀑泉。
酒醒思臥簟，
衣冷欲裝綿。
野老來看客，
河魚不取錢。
只疑淳樸處，
自有一山川。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0065,dufu_31092,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作梅
  一作得",65,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,3.0
dufu_chunk_0066,dufu_31093,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
棘樹寒雲色，
茵蔯春藕香。
脆添生菜美，
陰益食單涼。
野鶴清晨出，
山精白日藏。
石林蟠水府，
百里獨蒼蒼。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0067,dufu_31093,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作梀，音同棘
  蒿類，因陳苗而生，故名
  一作蓋
  一作簟
  一作至
  山精如人，一足，長四尺，夜出晝匿",114,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,7.0
dufu_chunk_0068,dufu_31094,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
憶過楊柳渚，
走馬定昆池。
醉把青荷葉，
狂遺白接䍦。
刺船思郢客，
解水乞吳兒。
坐對秦山晚，
江湖興頗隨。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,True,True,,
dufu_chunk_0069,dufu_31094,allusions_context,"Poem: 陪鄭廣文遊何將軍山林十首

Literary Allusions and References:
  醉把青荷",61,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,1.0,
dufu_chunk_0070,dufu_31094,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  安樂公主鑿定昆池",64,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0071,dufu_31095,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
牀上書連屋，
階前樹拂雲。
將軍不好武，
稚子總能文。
醒酒微風入，
聽詩靜夜分。
絺衣挂蘿薜，
涼月白紛紛。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0072,dufu_31095,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂",53,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,1.0
dufu_chunk_0073,dufu_31096,poem_content,"Poem Title: 陪鄭廣文遊何將軍山林十首

Poem Text:
幽意忽不愜，
歸期無奈何。
出門流水注，
回首白雲多。
自笑燈前舞，
誰憐醉後歌。
祗應與朋好，
風雨亦來過。

Creation Date: 753年
Location: CN6101
Poem Type: 律詩",144,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,False,True,,
dufu_chunk_0074,dufu_31096,annotations_context,"Poem: 陪鄭廣文遊何將軍山林十首

Scholarly Annotations:
  山林在韋曲西塔陂
  一作住
  一作雜花",66,Du Fu (杜甫),753年,陪鄭廣文遊何將軍山林十首,律詩,Classical Chinese,,,,3.0
dufu_chunk_0075,dufu_31005,poem_content,"Poem Title: 重過何氏五首

Poem Text:
問訊東橋竹，
將軍有報書。
倒衣還命駕，
高枕乃吾廬。
花妥鶯捎蝶，
溪喧獺趁魚。
重來休沐地，
真作野人居。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",138,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,False,False,,
dufu_chunk_0076,dufu_31006,poem_content,"Poem Title: 重過何氏五首

Poem Text:
山雨尊仍在，
沙沈榻未移。
犬迎曾宿客，
鴉護落巢兒。
雲薄翠微寺，
天清黃子陂。
向來幽興極，
步屣過東籬。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",138,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,False,True,,
dufu_chunk_0077,dufu_31006,annotations_context,"Poem: 重過何氏五首

Scholarly Annotations:
  一作憎閒
  長安縣南太和谷有太和宮，後改翠微宮，又改寺
  一作寒
  在樊川
  一作履，一作屐",89,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,,,,5.0
dufu_chunk_0078,dufu_31007,poem_content,"Poem Title: 重過何氏五首

Poem Text:
落日平臺上，
春風啜茗時。
石闌斜點筆，
桐葉坐題詩。
翡翠鳴衣桁，
蜻蜓立釣絲。
自今幽興熟，
來往亦無期。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",138,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,False,True,,
dufu_chunk_0079,dufu_31007,annotations_context,"Poem: 重過何氏五首

Scholarly Annotations:
  一作照
  一作自逢今日興",52,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,,,,2.0
dufu_chunk_0080,dufu_31008,poem_content,"Poem Title: 重過何氏五首

Poem Text:
頗怪朝參嬾，
應耽野趣長。
雨拋金鎖甲，
苔臥綠沈槍。
手自移蒲柳，
家纔足稻粱。
看君用幽意，
白日到羲皇。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",138,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,True,False,,
dufu_chunk_0081,dufu_31008,allusions_context,"Poem: 重過何氏五首

Literary Allusions and References:
  上皇人",54,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,,,1.0,
dufu_chunk_0082,dufu_31009,poem_content,"Poem Title: 重過何氏五首

Poem Text:
到此應常宿，
相留可判年。
蹉跎暮容色，
悵望好林泉。
何路霑微祿，
歸山買薄田。
斯遊恐不遂，
把酒意茫然。

Creation Date: 754年
Location: CN6101
Poem Type: 律詩",138,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,False,True,,
dufu_chunk_0083,dufu_31009,annotations_context,"Poem: 重過何氏五首

Scholarly Annotations:
  一作鬢
  一作日
  一作終身",55,Du Fu (杜甫),754年,重過何氏五首,律詩,Classical Chinese,,,,3.0
dufu_chunk_0084,dufu_30638,poem_content,"Poem Title: 冬日有懷李白

Poem Text:
寂寞書齋裏，
終朝獨爾思。
更尋嘉樹傳，
不忘角弓詩。
短褐風霜入，
還丹日月遲。
未因乘興去，
空有鹿門期。

Creation Date: 745年
Location: CN410381
Poem Type: 律詩",140,Du Fu (杜甫),745年,冬日有懷李白,律詩,Classical Chinese,True,True,,
